GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,SEX,Sex,Display Value,Numeric Value,Low Value,High Value,Comments
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AZE,Azerbaijan,BTSX,Both sexes,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,BHS,Bahamas,MLE,Male,68,68,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,BHS,Bahamas,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,BHS,Bahamas,BTSX,Both sexes,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,BHS,Bahamas,MLE,Male,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,BHS,Bahamas,FMLE,Female,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,BHS,Bahamas,BTSX,Both sexes,72,72,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,BHS,Bahamas,MLE,Male,72,72,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,BHS,Bahamas,FMLE,Female,78,78,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,BHS,Bahamas,BTSX,Both sexes,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,BHR,Bahrain,MLE,Male,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,BHR,Bahrain,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,BHR,Bahrain,BTSX,Both sexes,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,BHR,Bahrain,MLE,Male,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,BHR,Bahrain,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,BHR,Bahrain,BTSX,Both sexes,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,BHR,Bahrain,MLE,Male,78,78,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,BHR,Bahrain,FMLE,Female,80,80,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,BHR,Bahrain,BTSX,Both sexes,79,79,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,SEAR,South-East Asia,BGD,Bangladesh,MLE,Male,60,60,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,SEAR,South-East Asia,BGD,Bangladesh,FMLE,Female,59,59,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,SEAR,South-East Asia,BGD,Bangladesh,BTSX,Both sexes,60,60,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,MLE,Male,65,65,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,FMLE,Female,65,65,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,SEAR,South-East Asia,BGD,Bangladesh,BTSX,Both sexes,65,65,,,
